DEFLT.slx11111,738560.7805787340039387345,DEMO_FAS,name_DEMO_FAS;type_SubSystem;parent_name_DEFLT;hierarchy_depth_0;num_lines_2;num_inputs_1;num_outputs_1;ul_695_281;lr_920_419;rul_-345_0;rlr_-330_0
DEFLT.slx11111,738561.6152001384180039167,_Distance_stat,name__Distance_stat;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_212;lr_35_218;rul_105_-109;rlr_160_-11
DEFLT.slx11111,738560.8740484931040555239,_V_Obj_rel_kmh,name__V_Obj_rel_kmh;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_227;lr_35_233;rul_105_-124;rlr_160_-26
DEFLT.slx11111,738560.83217423758469522,_Distance_Object_m,name__Distance_Object_m;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_242;lr_35_248;rul_105_-139;rlr_160_-41
DEFLT.slx11111,738561.5525403964566066861,Subsystem,name_Subsystem;type_SubSystem;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_21;num_inputs_13;num_outputs_8;ul_115_103;lr_195_207;rul_-105_-41;rlr_-160_-139
DEFLT.slx11111,738561.2415261765709146857,_ParkingBrake_b,name__ParkingBrake_b;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_62;lr_35_68;rul_105_41;rlr_160_139
DEFLT.slx11111,738561.2204801850020885468,_BrakeForce_pedal_pc,name__BrakeForce_pedal_pc;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_77;lr_35_83;rul_105_26;rlr_160_124
DEFLT.slx11111,738561.5511695968452841043,_Accelaration_pedal_pc,name__Accelaration_pedal_pc;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_92;lr_35_98;rul_105_11;rlr_160_109
DEFLT.slx11111,738561.5930798740591853857,_CruiseControl_b,name__CruiseControl_b;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_107;lr_35_113;rul_105_-4;rlr_160_94
DEFLT.slx11111,738560.9760097151156514883,_Limiter_b,name__Limiter_b;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_122;lr_35_128;rul_105_-19;rlr_160_79
DEFLT.slx11111,738561.5973675951827317476,_LeverUp_stat,name__LeverUp_stat;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_137;lr_35_143;rul_105_-34;rlr_160_64
DEFLT.slx11111,738561.3285155136836692691,_LeverDown_stat,name__LeverDown_stat;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_152;lr_35_158;rul_105_-49;rlr_160_49
DEFLT.slx11111,738561.1628481808584183455,_V_Vehicle_kmh,name__V_Vehicle_kmh;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_167;lr_35_173;rul_105_-64;rlr_160_34
DEFLT.slx11111,738560.8137513831024989486,_V_Sign_kmh,name__V_Sign_kmh;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_182;lr_35_188;rul_105_-79;rlr_160_19
DEFLT.slx11111,738561.3241583873750641942,_Sign_b,name__Sign_b;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_197;lr_35_203;rul_105_-94;rlr_160_4
DEFLT.slx11111,738561.5414175940677523613,_Distance_stat,name__Distance_stat;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_212;lr_35_218;rul_105_-109;rlr_160_-11
DEFLT.slx11111,738561.6298937826650217175,_V_Obj_rel_kmh,name__V_Obj_rel_kmh;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_227;lr_35_233;rul_105_-124;rlr_160_-26
DEFLT.slx11111,738560.8002954656258225441,_Distance_Object_m,name__Distance_Object_m;type_Inport;parent_name_Subsystem;hierarchy_depth_3;num_lines_1;num_inputs_0;num_outputs_1;ul_10_242;lr_35_248;rul_105_-139;rlr_160_-41
DEFLT.slx11111,738561.4499175704549998045,DEMO_FAS,name_DEMO_FAS;type_SubSystem;parent_name_Subsystem;hierarchy_depth_3;num_lines_21;num_inputs_13;num_outputs_8;ul_115_103;lr_195_207;rul_-105_-41;rlr_-160_-139
DEFLT.slx11111,738561.00620426912792027,_ParkingBrake_b,name__ParkingBrake_b;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_133;lr_175_147;rul_200_-7;rlr_315_607
DEFLT.slx11111,738561.3185774805024266243,_BrakeForce_pedal_pc,name__BrakeForce_pedal_pc;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_183;lr_175_197;rul_200_-57;rlr_315_557
DEFLT.slx11111,738560.9825396962696686387,_Accelaration_pedal_pc,name__Accelaration_pedal_pc;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_233;lr_175_247;rul_200_-107;rlr_315_507
DEFLT.slx11111,738561.4636460815090686083,_CruiseControl_b,name__CruiseControl_b;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_283;lr_175_297;rul_200_-157;rlr_315_457
DEFLT.slx11111,738561.013380621443502605,_Limiter_b,name__Limiter_b;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_333;lr_175_347;rul_200_-207;rlr_315_407
DEFLT.slx11111,738561.6045087705133482814,_LeverUp_stat,name__LeverUp_stat;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_383;lr_175_397;rul_200_-257;rlr_315_357
DEFLT.slx11111,738561.4842893650056794286,_LeverDown_stat,name__LeverDown_stat;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_433;lr_175_447;rul_200_-307;rlr_315_307
DEFLT.slx11111,738561.4739410122856497765,_V_Vehicle_kmh,name__V_Vehicle_kmh;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_483;lr_175_497;rul_200_-357;rlr_315_257
DEFLT.slx11111,738561.6127269084099680185,_V_Sign_kmh,name__V_Sign_kmh;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_533;lr_175_547;rul_200_-407;rlr_315_207
DEFLT.slx11111,738560.9702530271606519818,_Sign_b,name__Sign_b;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_583;lr_175_597;rul_200_-457;rlr_315_157
DEFLT.slx11111,738561.6843485666904598475,_Distance_stat,name__Distance_stat;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_633;lr_175_647;rul_200_-507;rlr_315_107
DEFLT.slx11111,738561.6691678889328613877,_V_Obj_rel_kmh,name__V_Obj_rel_kmh;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_683;lr_175_697;rul_200_-557;rlr_315_57
DEFLT.slx11111,738561.302547399653121829,_Distance_Object_m,name__Distance_Object_m;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_1;num_inputs_0;num_outputs_1;ul_145_733;lr_175_747;rul_200_-607;rlr_315_7
DEFLT.slx11111,738561.0420891476096585393,DEMO_FAS_Funktion,name_DEMO_FAS_Funktion;type_SubSystem;parent_name_DEMO_FAS;hierarchy_depth_4;num_lines_2;num_inputs_1;num_outputs_1;ul_605_415;lr_705_465;rul_-260_-289;rlr_-215_289
DEFLT.slx11111,738561.2848608852364122868,InputBus,name_InputBus;type_Inport;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_1;num_inputs_0;num_outputs_1;ul_140_443;lr_170_457;rul_130_-286;rlr_200_286
DEFLT.slx11111,738561.5891676470637321472,BrakeAssistant,name_BrakeAssistant;type_SubSystem;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_645_117;lr_860_213;rul_-155_22;rlr_-365_-22
DEFLT.slx11111,738561.6280981588643044233,BrakeForce_pedal_pc,name_BrakeForce_pedal_pc;type_Inport;parent_name_BrakeAssistant;hierarchy_depth_6;num_lines_1;num_inputs_0;num_outputs_1;ul_345_338;lr_375_352;rul_225_-33;rlr_395_33
DEFLT.slx11111,738561.6484648732002824545,Brake_Booster,name_Brake_Booster;type_SubSystem;parent_name_BrakeAssistant;hierarchy_depth_6;num_lines_2;num_inputs_1;num_outputs_1;ul_570_305;lr_770_385;rul_-225_33;rlr_-395_-33
DEFLT.slx11111,738561.2100772112607955933,BrakeForce_pedal_pc,name_BrakeForce_pedal_pc;type_Inport;parent_name_Brake_Booster;hierarchy_depth_7;num_lines_2;num_inputs_0;num_outputs_1;ul_295_303;lr_325_317;rul_375_-46;rlr_405_66
DEFLT.slx11111,738560.7267547040246427059,Constant,name_Constant;type_Constant;parent_name_Brake_Booster;hierarchy_depth_7;num_lines_1;num_inputs_0;num_outputs_1;ul_565_231;lr_605_269;rul_105_26;rlr_125_114
DEFLT.slx11111,738561.1919776813592761755,DEMO_FAS_BrakeBooster_Threshold,name_DEMO_FAS_BrakeBooster_Threshold;type_Constant;parent_name_Brake_Booster;hierarchy_depth_7;num_lines_1;num_inputs_0;num_outputs_1;ul_295_389;lr_500_421;rul_250_-87;rlr_75_-88
DEFLT.slx11111,738561.5731379514327272773,RelOp,name_RelOp;type_RelationalOperator;parent_name_Brake_Booster;hierarchy_depth_7;num_lines_3;num_inputs_2;num_outputs_1;ul_545_302;lr_575_333;rul_-250_1;rlr_-250_-16
DEFLT.slx11111,738560.9946610307088121772,Switch,name_Switch;type_Switch;parent_name_Brake_Booster;hierarchy_depth_7;num_lines_4;num_inputs_3;num_outputs_1;ul_670_257;lr_730_383;rul_-105_-26;rlr_-125_-114
DEFLT.slx11111,738560.9425149362068623304,VERSION_INFO,name_VERSION_INFO;type_SubSystem;parent_name_Brake_Booster;hierarchy_depth_7;num_lines_0;num_inputs_0;num_outputs_0;ul_101_31;lr_472_131;rul_0_0;rlr_0_0
DEFLT.slx11111,738561.0930810605641454458,Copyright,name_Copyright;type_SubSystem;parent_name_VERSION_INFO;hierarchy_depth_8;num_lines_0;num_inputs_0;num_outputs_0;ul_69_56;lr_243_80;rul_0_0;rlr_0_0
DEFLT.slx11111,738561.2044293131912127137,BrakeForceBoosted_pc,name_BrakeForceBoosted_pc;type_Outport;parent_name_Brake_Booster;hierarchy_depth_7;num_lines_1;num_inputs_1;num_outputs_0;ul_890_313;lr_920_327;rul_-220_-56;rlr_-190_56
DEFLT.slx11111,738561.5906782300444319844,VERSION_INFO,name_VERSION_INFO;type_SubSystem;parent_name_BrakeAssistant;hierarchy_depth_6;num_lines_0;num_inputs_0;num_outputs_0;ul_146_16;lr_423_116;rul_0_0;rlr_0_0
DEFLT.slx11111,738561.3223426967160776258,Copyright,name_Copyright;type_SubSystem;parent_name_VERSION_INFO;hierarchy_depth_7;num_lines_0;num_inputs_0;num_outputs_0;ul_69_56;lr_243_80;rul_0_0;rlr_0_0
DEFLT.slx11111,738561.243697761557996273,BrakeForceBoosted_pc,name_BrakeForceBoosted_pc;type_Outport;parent_name_BrakeAssistant;hierarchy_depth_6;num_lines_1;num_inputs_1;num_outputs_0;ul_935_338;lr_965_352;rul_-365_-33;rlr_-195_33
DEFLT.slx11111,738561.1004376447526738048,BusCreator,name_BusCreator;type_BusCreator;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_9;num_inputs_8;num_outputs_1;ul_2635_376;lr_2640_739;rul_-225_5;rlr_-225_-320
DEFLT.slx11111,738561.4487179300049319863,BusCreator1,name_BusCreator1;type_BusCreator;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_5;num_inputs_2;num_outputs_1;ul_1390_261;lr_1395_454;rul_-285_0;rlr_-105_0
DEFLT.slx11111,738561.4456400935305282474,BusCreator2,name_BusCreator2;type_BusCreator;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_4;num_inputs_2;num_outputs_1;ul_1390_504;lr_1395_651;rul_-285_-6;rlr_-105_1
DEFLT.slx11111,738561.2634714859304949641,BusCreator3,name_BusCreator3;type_BusCreator;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_3;num_inputs_2;num_outputs_1;ul_1440_748;lr_1445_817;rul_-335_0;rlr_-135_0
DEFLT.slx11111,738560.8914470988092944026,BusCreator4,name_BusCreator4;type_BusCreator;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_4;num_inputs_2;num_outputs_1;ul_1040_1292;lr_1045_1403;rul_-400_-1;rlr_-185_-4
DEFLT.slx11111,738560.9948049597442150116,BusCreator5,name_BusCreator5;type_BusCreator;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_4;num_inputs_2;num_outputs_1;ul_930_1114;lr_935_1216;rul_-300_0;rlr_-120_0
DEFLT.slx11111,738561.2647892704699188471,BusCreator6,name_BusCreator6;type_BusCreator;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_3;num_inputs_2;num_outputs_1;ul_1825_898;lr_1830_1082;rul_-305_3;rlr_-120_-3
DEFLT.slx11111,738561.1531370371812954545,BusSelector,name_BusSelector;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_8;num_inputs_1;num_outputs_7;ul_975_257;lr_980_433;rul_-705_-100;rlr_-610_310
DEFLT.slx11111,738561.2560896871145814657,BusSelector1,name_BusSelector1;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_8;num_inputs_1;num_outputs_7;ul_975_497;lr_980_653;rul_-705_-340;rlr_-610_90
DEFLT.slx11111,738561.4770466628251597285,BusSelector10,name_BusSelector10;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_5;num_inputs_1;num_outputs_4;ul_1375_925;lr_1380_1030;rul_-1105_-768;rlr_-1010_-287
DEFLT.slx11111,738561.0494842804037034512,BusSelector11,name_BusSelector11;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_4;num_inputs_1;num_outputs_3;ul_520_1293;lr_525_1397;rul_-250_-1136;rlr_-155_-654
DEFLT.slx11111,738560.9201732536312192678,BusSelector12,name_BusSelector12;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_3;num_inputs_1;num_outputs_2;ul_520_1116;lr_525_1214;rul_-250_-959;rlr_-155_-471
DEFLT.slx11111,738561.3590344209223985672,BusSelector13,name_BusSelector13;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_2370_761;lr_2375_789;rul_-1330_531;rlr_-1330_614
DEFLT.slx11111,738561.2027994912350550294,BusSelector14,name_BusSelector14;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_1895_571;lr_1900_599;rul_-855_721;rlr_-855_804
DEFLT.slx11111,738561.6244213287718594074,BusSelector15,name_BusSelector15;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_3;num_inputs_1;num_outputs_2;ul_1375_1029;lr_1380_1076;rul_-445_85;rlr_-445_140
DEFLT.slx11111,738560.8707924194168299437,BusSelector16,name_BusSelector16;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_975_446;lr_980_474;rul_-45_668;rlr_-45_742
DEFLT.slx11111,738561.2207156437216326594,BusSelector17,name_BusSelector17;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_3;num_inputs_1;num_outputs_2;ul_1895_510;lr_1900_570;rul_-70_388;rlr_-70_512
DEFLT.slx11111,738561.4788705145474523306,BusSelector18,name_BusSelector18;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_1440_901;lr_1445_929;rul_-50_-640;rlr_-50_-475
DEFLT.slx11111,738561.5787095410050824285,BusSelector2,name_BusSelector2;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_4;num_inputs_1;num_outputs_3;ul_1895_420;lr_1900_510;rul_-1625_-263;rlr_-1530_233
DEFLT.slx11111,738561.6422150327125564218,BusSelector3,name_BusSelector3;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_2410_381;lr_2415_419;rul_-1020_-120;rlr_-1020_35
DEFLT.slx11111,738561.0656624693656340241,BusSelector4,name_BusSelector4;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_1895_361;lr_1900_389;rul_-505_-100;rlr_-505_65
DEFLT.slx11111,738561.4469795225886628032,BusSelector5,name_BusSelector5;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_1895_393;lr_1900_417;rul_-505_111;rlr_-505_234
DEFLT.slx11111,738561.0096294458489865065,BusSelector6,name_BusSelector6;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_2480_611;lr_2485_639;rul_-1090_-107;rlr_-1090_12
DEFLT.slx11111,738561.1923976342659443617,BusSelector7,name_BusSelector7;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_2;num_inputs_1;num_outputs_1;ul_490_139;lr_495_191;rul_-220_18;rlr_-125_552
DEFLT.slx11111,738561.6044584553455933928,BusSelector8,name_BusSelector8;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_3;num_inputs_1;num_outputs_2;ul_990_745;lr_995_820;rul_-720_-588;rlr_-625_-77
DEFLT.slx11111,738561.268492900300770998,BusSelector9,name_BusSelector9;type_BusSelector;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_3;num_inputs_1;num_outputs_2;ul_2315_653;lr_2320_722;rul_-875_95;rlr_-875_95
DEFLT.slx11111,738561.3133898387895897031,DEMO_FAS_V_CCSetValue,name_DEMO_FAS_V_CCSetValue;type_DataStoreMemory;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_0;num_inputs_0;num_outputs_0;ul_640_51;lr_787_81;rul_0_0;rlr_0_0
DEFLT.slx11111,738561.2712617930956184864,DEMO_FAS_V_LimiterSetValue,name_DEMO_FAS_V_LimiterSetValue;type_DataStoreMemory;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_0;num_inputs_0;num_outputs_0;ul_815_51;lr_987_86;rul_0_0;rlr_0_0
DEFLT.slx11111,738561.2633512029424309731,DataStoreRead1,name_DataStoreRead1;type_DataStoreRead;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_1;num_inputs_0;num_outputs_1;ul_2270_520;lr_2415_550;rul_365_-144;rlr_225_189
DEFLT.slx11111,738561.1742205607006326318,DataStoreRead2,name_DataStoreRead2;type_DataStoreRead;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_1;num_inputs_0;num_outputs_1;ul_2260_565;lr_2450_595;rul_375_-189;rlr_190_144
DEFLT.slx11111,738561.1263517927145585418,Distancewarner,name_Distancewarner;type_SubSystem;parent_name_DEMO_FAS_Funktion;hierarchy_depth_5;num_lines_4;num_inputs_2;num_outputs_2;ul_1105_748;lr_1310_817;rul_-115_-3;rlr_-315_3
DEFLT.slx11111,738561.2818231676938012242,V_Vehicle_ms,name_V_Vehicle_ms;type_Inport;parent_name_Distancewarner;hierarchy_depth_6;num_lines_1;num_inputs_0;num_outputs_1;ul_360_353;lr_390_367;rul_245_-24;rlr_445_89
DEFLT.slx11111,738560.7765662138117477298,Distance_Object_m,name_Distance_Object_m;type_Inport;parent_name_Distancewarner;hierarchy_depth_6;num_lines_1;num_inputs_0;num_outputs_1;ul_360_418;lr_390_432;rul_245_-89;rlr_445_24
DEFLT.slx11111,738561.4027245839824900031,Distancewarner_Function,name_Distancewarner_Function;type_SubSystem;parent_name_Distancewarner;hierarchy_depth_6;num_lines_4;num_inputs_2;num_outputs_2;ul_605_329;lr_835_456;rul_-245_24;rlr_-445_-89
DEFLT.slx11111,738561.4257156475214287639,V_Vehicle_ms,name_V_Vehicle_ms;type_Inport;parent_name_Distancewarner_Function;hierarchy_depth_7;num_lines_2;num_inputs_0;num_outputs_1;ul_105_318;lr_135_332;rul_400_-1;rlr_400_16
DEFLT.slx11111,738561.5613396666012704372,Distance_Object_m,name_Distance_Object_m;type_Inport;parent_name_Distancewarner_Function;hierarchy_depth_7;num_lines_2;num_inputs_0;num_outputs_1;ul_105_528;lr_135_542;rul_550_-91;rlr_550_-74
DEFLT.slx11111,738561.1035018768161535263,DEMO_FAS_Accusti_Threshold_Time,name_DEMO_FAS_Accusti_Threshold_Time;type_Constant;parent_name_Distancewarner_Function;hierarchy_depth_7;num_lines_1;num_inputs_0;num_outputs_1;ul_260_464;lr_465_496;rul_245_-22;rlr_70_-23
DEFLT.slx11111,738561.0654508377192541957,DEMO_FAS_Opti_Threshold_Time,name_DEMO_FAS_Opti_Threshold_Time;type_Constant;parent_name_Distancewarner_Function;hierarchy_depth_7;num_lines_1;num_inputs_0;num_outputs_1;ul_265_354;lr_465_386;rul_240_-37;rlr_70_-38
DEFLT.slx11111,738560.7953398565296083689,Mul,name_Mul;type_Product;parent_name_Distancewarner_Function;hierarchy_depth_7;num_lines_3;num_inputs_2;num_outputs_1;ul_505_317;lr_535_348;rul_-400_1;rlr_-400_-16
DEFLT.slx11111,738561.2345532251056283712,Mul1,name_Mul1;type_Product;parent_name_Distancewarner_Function;hierarchy_depth_7;num_lines_3;num_inputs_2;num_outputs_1;ul_505_442;lr_535_473;rul_-400_-124;rlr_-400_-141
DEFLT.slx11111,738561.2108607381815090775,RelOp,name_RelOp;type_RelationalOperator;parent_name_Distancewarner_Function;hierarchy_depth_7;num_lines_3;num_inputs_2;num_outputs_1;ul_655_312;lr_685_343;rul_-550_216;rlr_-550_199
DEFLT.slx11111,738560.7371012468356639147,RelOp2,name_RelOp2;type_RelationalOperator;parent_name_Distancewarner_Function;hierarchy_depth_7;num_lines_3;num_inputs_2;num_outputs_1;ul_655_437;lr_685_468;rul_-550_91;rlr_-550_74
DEFLT.slx11111,738561.2976917561609297991,VERSION_INFO,name_VERSION_INFO;type_SubSystem;parent_name_Distancewarner_Function;hierarchy_depth_7;num_lines_0;num_inputs_0;num_outputs_0;ul_101_26;lr_542_126;rul_0_0;rlr_0_0
DEFLT.slx11111,738560.8673993549309670925,Copyright,name_Copyright;type_SubSystem;parent_name_VERSION_INFO;hierarchy_depth_8;num_lines_0;num_inputs_0;num_outputs_0;ul_69_56;lr_243_80;rul_0_0;rlr_0_0
